test_date,playing_level,bat_speed_mph_group,pitch_speed_mph_group,jump_height_(imp-mom)_[cm]_mean_cmj,lower-limb_stiffness_[n/m]_mean_cmj,peak_power_[w]_mean_cmj,peak_power_/_bm_[w/kg]_mean_cmj,eccentric_braking_rfd_[n/s]_mean_cmj,eccentric_duration_[ms]_mean_cmj,concentric_duration_[ms]_mean_cmj,rsi-modified_[m/s]_mean_cmj,countermovement_depth_[cm]_mean_cmj,"cmj_stiffness_asymmetry_[%_l,r]_mean_cmj","eccentric_deceleration_impulse_(asymmetry)_[%_l,r]_mean_cmj","p1_concentric_impulse_asymmetry_[%_l,r]_mean_cmj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_cmj",concentric_peak_force_[n]_mean_cmj,eccentric_peak_force_[n]_mean_cmj,minimum_eccentric_force_[n]_mean_cmj,jump_height_(imp-mom)_[cm]_mean_sj,peak_power_[w]_mean_sj,peak_power_/_bm_[w/kg]_mean_sj,"p1_concentric_impulse_asymmetry_[%_l,r]_mean_sj","p2_concentric_impulse_asymmetry_[%_l,r]_mean_sj",peak_vertical_force_[n]_max_imtp,net_peak_vertical_force_[n]_max_imtp,force_at_100ms_[n]_max_imtp,force_at_150ms_[n]_max_imtp,force_at_200ms_[n]_max_imtp,best_active_stiffness_[n/m]_mean_ht,best_jump_height_(flight_time)_[cm]_mean_ht,best_rsi_(flight/contact_time)_mean_ht,best_rsi_(jump_height/contact_time)_[m/s]_mean_ht,peak_takeoff_force_[n]_mean_pp,peak_eccentric_force_[n]_mean_pp,"peak_takeoff_force_asymmetry_[%_l,r]_mean_pp","peak_eccentric_force_asymmetry_[%_l,r]_mean_pp",TSpineRomR,TSpineRomL,ShoulderERL,ShoulderERR,ShoulderIRL,ShoulderIRR,pitching_session_date,pitch_speed_mph,pitching_max_hss,hitting_session_date,bat_speed_mph,hitting_max_hss,relative_strength,body_weight_[lbs]
2021-12-01,College,<65,,48.09,6168.39,6132.55,66.05,7522.29,472.25,256.75,0.68,-36.39,8.06,10.9,5.65,-1.45,2407.78,2387.12,144.29,41.88,5397.35,58.13,6.82,-0.21,4162.3,3254.4,1175.4,1470.9,1836.6,73046.86,33.03,2.21,133.26,,,,,51.0,55.0,49.7,48.9,58.5,47.8,,,,2021-12-01,63.3,27.6,3.57,204.27
2021-12-01,College,<65,,40.76,4614.97,4057.01,59.34,5849.27,431.25,273.0,0.6,-36.14,-6.23,-6.11,-11.76,-10.5,1716.14,1725.27,57.78,38.57,4200.8,61.44,-24.16,-7.51,4002.6,3333.69,1343.4,1818.1,2403.7,71104.2,35.8,3.16,201.54,,,,,54.0,61.0,35.9,36.9,51.9,54.2,,,,2021-12-01,57.1,16.9,4.97,150.41
2021-12-02,College,65-70,,45.63,6055.25,6236.91,64.55,8400.1,503.75,283.0,0.63,-42.38,-4.8,-1.89,-6.26,-19.69,2708.92,2727.78,162.32,41.25,5961.39,61.7,7.08,-10.31,3726.4,2780.94,1367.1,1831.9,2457.2,39437.13,28.84,2.37,141.85,,,,,60.0,60.0,45.0,59.0,54.3,58.1,,,,2021-12-01,68.2,19.0,2.93,212.56
2021-12-02,College,<65,,42.32,4419.68,4613.94,54.68,5676.62,524.0,302.75,0.54,-45.18,-3.26,-3.84,-6.06,-6.06,2123.26,2125.09,127.38,34.35,4215.67,49.96,-6.29,-4.08,3670.1,2846.93,1261.9,1462.0,1709.9,33111.33,35.35,2.48,155.37,,,,,62.0,55.0,39.5,48.3,35.0,40.5,,,,2021-12-01,62.2,33.4,3.44,185.66
2021-12-07,Pro,70+,,58.1,4719.75,6421.47,69.36,7979.02,523.25,314.0,0.84,-57.54,-0.8,-4.64,-3.04,-3.3,2755.01,2768.48,53.63,52.9,6156.79,66.5,-9.24,-7.28,,,,,,39161.45,39.83,2.87,197.66,,,,,67.0,64.0,66.9,72.0,81.3,95.4,,,,2021-12-07,75.7,27.1,,203.68
2021-12-08,College,65-70,,45.53,8052.22,5429.3,61.69,10417.05,403.25,233.25,0.76,-31.07,10.11,23.38,5.77,-0.68,2576.72,2589.49,94.73,44.32,5321.68,60.47,16.16,-0.53,3929.7,3068.97,2109.7,2777.6,3132.8,35218.53,39.41,2.89,198.89,,,,,61.0,52.0,,66.3,,75.1,,,,2021-12-07,67.2,30.7,3.56,193.62
2021-12-08,College,70+,,46.02,5600.58,5847.45,65.81,5434.73,554.5,234.75,0.7,-35.76,-9.86,-0.98,-9.23,-13.09,2447.53,2428.93,419.62,39.71,5454.16,61.38,0.78,-8.97,4631.5,3759.98,1255.9,2207.1,3097.7,44987.6,33.4,2.92,183.73,,,,,46.0,52.0,56.7,65.0,72.8,65.3,,,,2021-12-08,71.1,20.5,4.31,195.49
2021-12-08,College,70+,,51.29,5371.06,6276.56,67.16,6829.53,504.5,271.25,0.7,-40.32,0.54,-14.35,-0.05,-4.52,2360.98,2323.49,158.18,47.22,6333.3,67.76,-8.16,-3.8,5916.5,4999.77,1629.9,2338.9,3154.5,26581.72,32.89,2.78,172.41,,,,,67.0,64.0,73.1,65.2,85.0,91.5,,,,2021-11-29,76.3,36.9,5.46,205.61
2021-12-09,College,65-70,,51.85,3747.38,5480.51,65.4,4303.11,581.25,317.5,0.59,-45.72,-2.63,0.01,-3.95,-2.48,1963.06,1929.52,216.52,48.52,5591.45,66.73,-4.72,0.08,4524.5,3704.17,966.2,1173.1,1263.0,57557.06,23.86,2.55,137.65,,,,,59.0,54.0,44.0,47.4,45.6,58.7,,,,2021-12-13,66.4,14.0,4.51,184.36
2021-12-10,Pro,65-70,,48.69,5843.3,5364.37,66.94,6591.04,447.25,244.25,0.73,-34.76,17.53,16.96,13.11,6.39,2205.29,2199.02,168.01,42.47,5042.5,62.92,18.23,9.41,3834.5,3046.14,1070.0,1304.8,1589.3,43245.97,29.8,2.69,162.95,,,,,52.0,53.0,40.9,57.1,47.3,48.0,,,,2021-12-09,68.8,22.6,3.88,176.31
2021-12-11,High School,<65,,46.38,3948.14,4623.47,58.37,5922.24,551.75,291.75,0.59,-42.42,5.52,12.83,7.65,-0.64,1886.6,1889.63,219.81,40.57,4586.45,57.9,11.16,2.24,2932.8,2157.78,1193.9,1441.1,1824.1,18859.41,42.24,3.07,221.83,,,,,52.0,47.0,42.7,49.0,48.9,55.0,,,,2021-12-07,65.0,15.6,2.78,174.26
2021-12-14,Pro,65-70,,37.2,5234.79,4391.36,52.81,7417.4,460.75,264.75,0.65,-41.07,5.09,14.66,-0.35,-6.5,2142.4,2177.66,28.68,34.46,4213.82,50.68,9.55,-2.85,5282.6,4474.14,2008.6,2669.3,3367.6,84119.38,34.96,3.01,197.04,,,,,61.0,57.0,44.1,50.0,74.0,73.8,,,,2021-12-13,66.8,19.8,5.49,182.93
2021-12-14,College,65-70,,41.72,4395.48,5003.99,55.86,5569.75,487.75,322.0,0.55,-48.09,-2.06,-8.55,0.36,-0.02,2175.56,2188.65,80.4,35.97,4854.76,54.19,-11.84,-1.1,3437.5,2556.18,1518.3,1844.3,2185.1,54055.63,30.04,3.15,188.7,,,,,67.0,63.0,53.9,50.8,59.8,53.1,,,,2021-12-14,65.2,22.5,2.91,197.08
2021-12-14,College,70+,,56.09,6367.26,6238.99,75.27,9365.61,448.5,233.25,0.91,-39.11,0.01,4.05,-0.73,2.2,2487.35,2499.2,19.41,50.85,5992.84,72.3,-10.58,0.11,4678.8,3864.46,1866.5,3013.0,3306.2,52838.1,45.46,3.59,270.52,,,,,42.0,64.0,52.5,59.8,60.4,64.2,,,,2021-12-13,74.9,25.4,4.75,182.36
2021-12-14,College,65-70,,41.86,6771.37,5092.33,55.81,10021.25,482.25,264.5,0.66,-35.47,1.75,0.22,1.07,-7.27,2415.68,2450.65,50.21,38.21,5074.58,55.6,1.82,-8.11,3763.8,2869.04,1764.7,2185.4,2529.4,39509.96,34.17,2.76,184.64,,,,,63.0,50.0,42.0,48.1,50.9,63.5,,,,2021-12-14,67.9,17.0,3.21,200.77
2021-12-15,College,<65,,47.85,4294.04,4563.98,66.29,4838.48,561.25,242.75,0.61,-35.23,10.12,16.5,8.71,0.46,1871.53,1820.99,311.68,42.43,4248.77,61.71,5.61,2.75,3677.5,3008.2,1367.9,1982.6,2597.4,16825.24,35.48,2.16,141.31,,,,,57.0,62.0,44.4,43.2,42.8,39.6,,,,2021-12-14,61.6,9.5,4.46,151.47
2021-12-15,College,65-70,,42.28,9219.56,5834.6,67.91,9456.75,376.25,193.25,0.75,-25.24,1.9,-3.15,3.06,9.99,2586.56,2359.3,49.16,39.94,5124.33,59.64,-6.97,13.15,4687.8,3845.02,1104.6,1356.1,1817.8,34807.61,33.92,2.55,162.75,,,,,50.0,54.0,30.2,31.1,15.9,48.7,,,,2021-12-14,65.7,21.9,4.56,189.02
2021-12-15,College,65-70,,51.31,4260.02,5446.01,68.62,4831.03,610.33,283.0,0.63,-39.5,-11.18,-7.68,-11.59,-13.87,2044.16,2056.87,373.69,46.86,5338.27,67.26,2.89,-9.4,4164.9,3384.09,2604.4,3076.0,3195.1,52117.24,32.13,3.21,195.67,,,,,58.0,58.0,68.6,65.5,74.5,77.6,,,,2021-12-15,69.1,16.3,4.35,174.61
