dataset,column,dtype,example,description,documented
hitting_poi,rear_elbow_stride_max_x,float64,143.6237,maximum rear elbow angle (x) between the load and foot plant (deg),True
hitting_poi,rear_elbow_stride_max_z,float64,77.7509,maximum rear elbow angle (z) between the load and foot plant - wrist pronation/supination (deg),True
hitting_poi,rear_elbow_swing_max_x,float64,143.6237,maximum rear elbow angle (x) between the load and contact (deg),True
hitting_poi,rear_elbow_swing_max_z,float64,83.4073,maximum rear elbow angle (z) between the load and contact - wrist pronation/supination (deg),True
hitting_poi,rear_hip_launchpos_x,float64,54.4718,rear hip angle (x) at foot plant (deg),True
hitting_poi,rear_hip_stride_max_x,float64,57.1879,maximum hip angle (x) between the load and foot plant (deg),True
hitting_poi,rear_hip_stride_max_y,float64,-4.2861,maximum hip angle (y) between the load and foot plant (deg),True
hitting_poi,rear_hip_stride_max_z,float64,37.7659,maximum hip angle (z) between the load and foot plant (deg),True
hitting_poi,rear_shoulder_launchpos_x,float64,51.7001,rear shoulder angle (y) at foot plant (deg),True
hitting_poi,rear_shoulder_stride_max_x,float64,11.0415,maximum rear shoulder angle (x) between the load and foot plant (deg),True
hitting_poi,rear_shoulder_stride_max_y,float64,89.5564,maximum rear shoulder angle (y) between the load and foot plant (deg),True
hitting_poi,rear_shoulder_stride_max_z,float64,11.7063,maximum rear shoulder angle (z) between the load and foot plant (deg),True
hitting_poi,torso_angular_velocity_fm_x,float64,-20.5107,torso angular velocity at first move (deg/sec),True
hitting_poi,torso_angular_velocity_fp_x,float64,453.0682,torso angular velocity at foot plant (deg/sec),True
hitting_poi,torso_angular_velocity_maxhss_x,float64,748.4769,torso angular velocity at maximum hip-shoulder separation (deg/sec),True
hitting_poi,torso_angular_velocity_stride_max_x,float64,453.0682,maximum torso angular velocity between the load and foot plant (deg/sec),True
hitting_poi,torso_angular_velocity_seq_max_x,float64,775.7749,maximum torso angular velocity between first move and contact (deg/sec),True
hitting_poi,torso_angular_velocity_swing_max_x,float64,775.7749,maximum torso angular velocity between the load and contact (deg/sec),True
hitting_poi,torso_fm_x,float64,-27.9432,torso angle (x) at first move (deg),True
hitting_poi,torso_fm_y,float64,-15.0864,torso angle (y) at first move (deg),True
hitting_poi,torso_fm_z,float64,-103.006,torso angle (z) at first move (deg),True
hitting_poi,torso_launchpos_x,float64,-21.8904,torso angle (x) at foot plant (deg),True
hitting_poi,torso_launchpos_y,float64,-0.0221,torso angle (y) at foot plant (deg),True
hitting_poi,torso_launchpos_z,float64,-95.8966,torso angle (z) at foot plant (deg),True
hitting_poi,torso_loadedpos_x,float64,-97.7734,Torso angle (z) at loaded position (deg),True
hitting_poi,torso_load_max_x,float64,-97.5618,maximum torso angle (z) between the start of the take and the load (deg),True
hitting_poi,torso_pelvis_fm_x,float64,-2.4765,torso-pelvis angle (z) at first move (deg),True
hitting_poi,torso_pelvis_launchpos_x,float64,-18.952,torso-pelvis angle (z) at foot plant (deg),True
hitting_poi,torso_pelvis_loadedpos_x,float64,-4.3548,Torso-pelvis angle (z) at loaded position (deg),True
hitting_poi,torso_pelvis_load_max_x,float64,-4.9252,maximum torso-pelvis angle (z) between the start of the take and the load (deg),True
hitting_poi,torso_pelvis_stride_max_x,float64,-3.1422,maximum torso-pelvis angle (x) between the load and foot plant (deg),True
hitting_poi,torso_pelvis_stride_max_y,float64,-25.0935,maximum torso-pelvis angle (y) between the load and foot plant (deg),True
hitting_poi,torso_pelvis_stride_max_z,float64,-18.952,maximum torso-pelvis angle (z) between the load and foot plant (deg),True
hitting_poi,torso_pelvis_swing_max_x,float64,-20.5898,maximum torso_pelvis angle (z) between the load and contact (deg),True
hitting_poi,torso_stride_max_x,float64,-29.9237,maximum torso angle (x) between the load and foot plant (deg),True
hitting_poi,torso_stride_max_y,float64,-15.0887,maximum torso angle (y) between the load and foot plant (deg),True
hitting_poi,torso_stride_max_z,float64,-104.0084,maximum torso angle (z) between the load and foot plant (deg),True
hitting_poi,torso_swing_max_x,float64,19.9394,maximum torso angle (x) between the load and contact (deg),True
hitting_poi,torso_swing_max_y,float64,25.5588,maximum torso angle (y) between the load and contact (deg),True
hitting_poi,torso_swing_max_z,float64,6.2796,maximum torso angle (z) between the load and contact (deg),True
hitting_poi,upper_arm_speed_mag_fm_x,float64,77.2077,resultant upper arm speed at first move (deg/sec),True
hitting_poi,upper_arm_speed_mag_fp_x,float64,281.0329,resultant upper arm speed at foot plant (deg/sec),True
hitting_poi,upper_arm_speed_mag_maxhss_x,float64,449.7435,resultant upper arm speed at maximum hip-shoulder separation (deg/sec),True
hitting_poi,upper_arm_speed_mag_seq_max_x,float64,987.9657,maximum resultant upper arm speed between first move and contact (deg/sec),True
hitting_poi,upper_arm_speed_mag_stride_max_velo_x,float64,290.3699,maximum resultant upper arm speed between the load and foot plant (deg/sec),True
hitting_poi,upper_arm_speed_mag_swing_max_velo_x,float64,987.9657,maximum resultant upper arm speed between the load and contact (deg/sec),True
hitting_poi,x_factor_hs_x,float64,-0.7814,x-factor angle (x) at heel strike (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_hs_y,float64,-21.659,x-factor angle (y) at heel strike (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,x_factor_hs_z,float64,-1.2444,x-factor angle (z) at heel strike (same as torso-pelvis angle) - using K-Vest conventions (deg),True
hitting_poi,max_cog_velo_x,float64,1.241,maximum center of gravity velocity from start of take to end of take (meters per second),True
