session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
502_1,60.1,7.0,3,108, 2B-8,-10,-7.8,-4.8,4.93,25.12,21.92,-8.0
502_2,59.3,4.0,6,157, F6,-15,1.1,-4.0,4.4,34.34,26.11,-6.4
502_3,59.0,4.0,25,381, 2B-8,-2,-0.9,-4.5,4.85,32.21,25.13,-6.6
502_4,59.2,4.0,25,392, 2B-8,-7,-1.2,-5.0,5.49,32.19,27.42,-6.8
502_5,58.2,5.0,21,388, 1B-7,-24,0.0,-2.5,3.37,34.06,32.77,-6.8
502_6,59.2,4.0,-1,56, 6-3,-18,1.1,-5.6,6.1,34.38,26.75,-6.4
502_7,58.0,5.0,17,329, 2B-8,-16,0.5,-0.7,1.31,33.92,27.57,-6.7
502_8,58.5,4.0,16,310, 2B-8,-10,-1.7,-3.3,3.83,31.87,27.51,-7.4
51_1,54.8,7.0,-4,23, 1B-8,5,-5.3,-6.2,6.18,25.31,20.26,-8.1
51_2,55.9,7.0,-5,20, 1B-9,30,-3.2,-9.4,9.53,27.88,24.78,-7.2
51_3,56.1,4.0,17,222, 1B-8,-6,-0.4,-6.0,6.01,30.93,26.39,-7.3
51_4,56.6,4.0,-5,22, 1B-8,-5,-0.4,-4.2,4.32,30.5,23.15,-7.1
51_5,55.1,4.0,-1,42, 4-3,26,2.6,-4.5,4.78,34.72,33.06,-7.0
56_1,54.3,8.0,19,295, 2B-8,14,-7.6,1.8,-1.79,24.86,27.61,-8.1
56_2,54.5,12.0,17,299, 2B-9,23,-10.0,-2.2,2.05,22.71,28.68,-8.7
56_3,53.7,12.0,35,385, 2B-9,20,-10.6,-0.1,0.02,22.76,32.26,-8.9
56_4,53.3,8.0,31,382, 2B-9,25,-4.7,-0.1,0.32,28.27,31.82,-8.0
56_5,53.5,7.0,29,361, 3B-9,43,-8.3,-9.6,5.91,27.13,45.24,-9.4
59_1,51.9,2.0,7,149, F6,-22,8.4,0.0,-0.1,42.04,29.65,-6.7
59_2,52.6,1.0,22,303, F8,-4,8.0,-4.6,0.0,0.0,0.0,-6.6
59_3,53.1,10.0,10,197, 1B-8,4,12.7,-3.1,3.14,45.43,22.12,-5.8
59_4,51.8,3.0,26,355, 1B-7,-23,8.9,3.5,-3.13,42.5,29.41,-6.6
59_5,51.9,10.0,8,165, 1B-8,1,13.7,-0.7,0.0,0.0,0.0,-6.0
67_1,56.6,3.0,29,319, 2B-8,-12,4.2,6.0,-5.72,35.58,27.7,-6.6
67_2,57.1,1.0,22,294, F8,7,3.8,-5.5,5.42,34.37,20.94,-6.5
67_3,57.1,1.0,-7,22, 1B-8,0,7.0,-4.7,4.66,37.49,20.52,-5.9
67_4,57.7,5.0,2,70, 1B-8,-3,0.8,1.1,-1.21,31.99,25.78,-6.9
67_5,57.5,2.0,18,266, 2B-8,-11,6.8,-2.7,2.6,38.36,30.47,-6.0
68_1,55.2,1.0,18,315, 1B-7,-34,3.9,-6.6,6.53,36.47,31.12,-6.7
68_2,54.8,2.0,33,400, HR,-30,5.9,-1.8,1.9,37.97,26.97,-6.4
68_3,54.6,2.0,16,304, 1B-7,-38,6.3,-2.1,2.19,39.28,34.31,-6.6
68_4,55.8,7.0,8,178, F5,-38,-3.3,-3.0,2.86,29.74,33.15,-7.3
68_5,55.4,5.0,21,360, 1B-7,-37,0.7,-0.8,2.2,33.51,33.18,-6.6
69_1,56.1,5.0,15,253, 2B-8,-13,2.5,-0.7,0.82,35.3,29.68,-6.5
69_2,55.3,2.0,2,87, 6-3,-23,5.1,-2.6,2.61,38.1,31.51,-6.4
69_3,54.2,4.0,28,368, 1B-8,-20,2.0,-4.6,4.63,35.56,35.0,-6.9
69_4,54.9,2.0,6,144, 1B-7,-23,3.6,-0.7,0.0,0.0,0.0,-6.7
69_5,56.1,2.0,-4,34, 6-3,-21,3.1,-2.1,2.93,35.87,28.79,-6.8
73_1,57.1,10.0,21,224, 1B-8,-3,11.2,-2.6,2.59,42.17,17.41,-5.4
73_2,56.2,1.0,4,86, 6-3,-22,7.0,-5.7,5.57,39.21,29.3,-6.0
73_3,55.7,1.0,21,260, F8,-7,7.0,-3.6,3.77,39.52,30.93,-6.3
73_4,56.5,10.0,33,269, 1B-8,-13,11.7,-0.7,0.85,43.14,21.75,-5.5
73_5,57.1,3.0,11,169, 1B-7,-29,8.8,3.2,-2.96,40.69,26.72,-5.7
81_1,57.9,4.0,17,278, F8,1,1.2,-8.7,8.59,33.18,25.91,-6.7
81_2,58.0,7.0,7,148, 1B-8,-9,-5.0,-7.8,0.0,0.0,0.0,-7.3
81_3,58.8,8.0,15,275, 2B-8,-17,-7.2,1.8,-1.58,24.54,23.34,-7.1
81_4,57.2,7.0,25,346, 2B-7,-18,-5.0,-2.8,3.48,28.23,35.71,-6.9
81_5,58.6,8.0,10,186, 1B-8,-6,-5.0,1.6,-1.42,26.54,21.74,-7.1
84_1,60.2,2.0,23,353, 2B-9,26,3.7,1.2,-1.09,37.08,33.27,-5.7
84_2,59.5,3.0,12,228, 2B-9,19,3.7,4.6,-4.31,36.61,27.67,-5.9
84_3,60.8,4.0,1,69, 1B-9,29,-1.0,-3.2,3.79,31.99,27.66,-6.4
84_4,60.1,2.0,19,299, 2B-8,15,3.2,-1.1,1.19,35.88,26.49,-5.7
84_5,0.0,,2,91, 1B-9,31,-31.8,0.0,0.0,0.0,0.0,0.0
86_1,56.4,10.0,7,141, F6,-17,2.7,-10.1,0.0,0.0,0.0,-6.6
86_2,56.8,1.0,18,314, F8,-7,2.9,-4.0,3.98,35.77,26.63,-6.4
86_3,57.7,7.0,24,377, 2B-8,-8,-5.4,-4.2,4.05,28.11,29.76,-7.7
86_4,57.9,7.0,1,62, 6-3,-17,-7.5,-9.3,9.22,25.51,25.97,-7.7
86_5,57.4,4.0,27,410, HR,-21,-2.2,-3.1,3.63,31.97,35.95,-7.3
87_1,57.0,2.0,25,379, 2B-7,-24,2.8,-2.2,2.3,34.24,35.4,-6.7
87_2,56.8,5.0,11,225, 1B-7,-34,0.9,-0.8,0.99,32.4,34.29,-7.3
87_3,58.2,7.0,7,162, 1B-8,-4,-6.0,-5.6,0.0,0.0,0.0,-7.2
87_4,58.3,8.0,9,184, F6,-20,-2.9,-2.3,2.32,27.64,26.61,-7.1
89_1,57.9,5.0,-4,24, 6-3,-18,-2.4,1.2,-1.56,28.06,12.76,-6.3
89_2,57.5,8.0,26,390, 2B-8,-6,-6.1,2.6,-2.63,24.8,16.22,-7.2
89_3,57.3,8.0,4,97, 1B-8,-5,-7.0,0.3,-0.26,23.02,9.65,-7.6
89_4,58.2,8.0,13,231, 1B-8,-10,-7.1,-0.6,0.6,23.43,14.02,-7.7
89_5,55.3,2.0,27,369, 2B-8,9,2.8,0.0,0.0,33.21,12.88,-7.1
