session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
381_2,61.0,6.0,24,326, 3B-8,-15,-1.2,4.3,-4.39,29.81,21.25,-6.9
381_3,59.7,5.0,33,408, HR,-22,2.5,0.3,-0.6,33.97,25.59,-6.3
381_4,60.2,5.0,16,295, 2B-8,-16,-1.1,0.8,-0.9,29.96,21.14,-6.6
381_5,60.2,3.0,25,380, 2B-8,-21,7.3,5.8,-5.92,38.54,23.56,-5.7
381_6,59.9,3.0,26,400, HR,-28,7.8,6.4,-6.47,39.46,28.88,-5.6
381_7,60.3,3.0,27,367, 2B-8,-17,3.4,4.8,-4.84,34.34,21.0,-6.1
381_8,59.9,2.0,7,181, 1B-7,-28,4.2,-0.6,0.33,35.55,24.64,-6.1
392_1,59.7,12.0,8,165, 1B-8,-5,-1.9,-10.7,0.0,0.0,0.0,-7.0
392_2,60.1,4.0,19,329, 2B-8,-9,-0.6,-8.6,8.72,29.36,15.57,-6.9
392_3,60.7,12.0,21,342, 2B-8,5,-1.8,-12.5,12.39,28.57,19.09,-6.7
392_4,59.9,4.0,13,242, 2B-8,-15,-1.4,-8.9,8.62,29.49,22.98,-7.0
392_5,60.3,4.0,12,232, 2B-8,-9,-0.5,-6.6,6.58,29.59,16.68,-6.5
392_6,60.8,1.0,30,379, 2B-8,-13,6.3,-5.3,4.82,37.42,26.94,-5.9
392_7,60.6,12.0,23,339, 2B-8,6,-1.8,-12.8,12.59,28.76,20.23,-7.0
392_8,60.7,4.0,30,386, 2B-8,-6,0.2,-6.7,6.3,31.27,25.47,-6.6
399_1,57.7,7.0,17,198, 1B-8,13,-5.0,-3.4,3.25,27.11,22.36,-7.4
399_2,56.9,4.0,30,239, F8,-2,-1.0,-7.3,6.36,32.79,36.7,-7.0
399_3,58.8,5.0,19,235, 1B-8,2,-2.3,0.8,-1.16,31.02,33.41,-6.9
399_4,57.4,8.0,20,283, F8,-6,-5.3,-1.9,1.24,28.15,33.18,-7.4
399_5,57.8,7.0,10,136, F6,-18,-6.9,-4.7,3.6,27.63,41.06,-7.5
399_6,58.7,7.0,21,262, 2B-8,15,-7.7,-3.2,2.77,24.87,25.56,-7.7
399_7,58.1,7.0,22,235, 1B-8,11,-4.1,-4.8,4.4,28.41,25.97,-7.1
399_8,57.0,5.0,21,289, F8,-8,-0.6,-1.2,0.61,33.24,37.03,-7.0
416_1,56.8,3.0,25,370, 2B-7,-29,6.8,3.2,-3.98,39.88,43.55,-6.4
416_2,57.7,2.0,36,336, F8,-4,5.5,-2.2,1.21,37.86,36.59,-6.5
416_3,59.3,2.0,18,278, F8,-1,7.0,-1.9,0.0,0.0,0.0,-6.3
416_4,58.0,6.0,-1,44, 5-3,-39,-1.6,4.5,-4.97,31.09,36.53,-7.5
416_5,58.5,6.0,10,200, 2B-7,-43,0.9,4.5,-4.97,34.75,49.01,-6.8
416_6,58.6,10.0,23,362, 2B-0,-15,10.4,-4.7,3.83,42.62,40.09,-5.4
416_7,59.1,1.0,13,236, 2B-8,-11,3.2,-4.7,3.89,35.16,32.23,-6.8
42_1,56.6,4.0,14,301, 1B-7,-25,1.9,-4.9,4.66,35.35,23.95,-6.6
42_2,57.8,12.0,18,339, F8,-2,-0.9,-29.9,0.0,0.0,0.0,-8.0
42_3,58.6,7.0,5,132, 1B-8,-2,-3.0,-3.9,3.96,29.76,18.53,-6.6
42_4,58.2,8.0,19,326, 1B-7,-39,-6.7,2.4,-2.43,27.97,32.22,-7.8
42_5,57.7,5.0,13,276, F7,-34,-2.7,1.8,-1.79,31.25,29.03,-6.6
426_1,56.7,8.0,13,234, 2B-8,12,-2.8,0.3,-0.84,29.12,27.09,-5.5
426_2,56.9,8.0,11,212, 1B-8,-7,-4.5,-2.3,1.07,28.51,38.12,-5.7
426_3,57.0,8.0,17,301, F8,-6,-3.4,-1.6,0.55,29.55,37.97,-5.6
426_4,56.5,5.0,27,379, 2B-8,-12,-2.7,1.6,-2.6,30.33,39.84,-5.4
426_5,56.7,8.0,0,53, 6-3,-15,-6.7,-0.7,-0.52,26.85,41.23,-6.3
426_6,56.8,5.0,27,373, 2B-8,5,-1.1,-1.1,0.18,31.5,34.84,-5.5
426_7,56.7,6.0,32,370, 2B-8,-12,0.6,3.9,-4.74,33.7,41.26,-5.1
426_8,55.8,3.0,23,365, 2B-7,-18,6.4,5.8,-6.23,39.04,38.63,-4.6
428_1,57.2,4.0,19,257, 1B-7,-21,0.8,-2.9,2.25,31.11,31.75,-7.2
428_2,57.0,4.0,8,141, 1B-7,-28,0.5,-3.8,3.2,31.01,33.41,-7.3
428_3,58.9,5.0,21,259, 1B-8,-11,0.2,-0.9,0.52,29.97,27.42,-7.1
428_4,56.9,8.0,5,100, 1B-7,-33,-6.3,2.1,-2.13,24.29,33.16,-7.7
428_5,58.4,1.0,18,247, 1B-8,-4,3.3,-5.4,0.0,0.0,0.0,-6.5
428_6,57.5,8.0,16,261, F7,-24,-4.9,2.0,-2.33,25.46,30.5,-7.9
428_7,59.5,4.0,5,102, 6-3,-18,0.5,-3.0,2.44,30.61,30.92,-6.9
428_8,58.0,9.0,5,106, F5,-36,-4.0,5.3,-5.38,27.57,40.66,-7.6
43_1,58.5,3.0,25,343, HR,-43,4.9,6.4,-6.39,36.45,26.37,-6.2
43_2,57.2,3.0,24,314, 1B-7,-22,4.8,3.3,-3.3,35.54,18.74,-6.4
43_3,59.1,2.0,18,277, 1B-7,-21,3.3,1.3,-1.32,33.8,16.54,-6.1
43_4,57.3,2.0,23,328, HR,-22,7.1,-0.5,0.55,37.86,19.22,-6.1
430_2,57.1,5.0,20,315, F8,1,-0.4,-1.7,0.5,31.68,41.94,-7.4
430_3,55.4,5.0,19,301, F8,4,0.3,-0.7,-0.13,31.94,38.1,-7.6
430_4,55.2,4.0,20,323, 2B-8,10,2.7,-3.2,2.16,34.17,36.75,-7.6
430_5,55.7,7.0,10,205, 2B-8,16,-7.6,-3.9,2.67,24.8,40.9,-8.5
430_6,56.1,5.0,8,169, F4,16,-1.8,-1.4,0.27,30.25,41.7,-7.5
430_7,56.2,8.0,14,262, 1B-8,6,-4.3,-2.5,1.65,27.09,34.61,-8.1
430_8,56.1,8.0,10,195, 2B-8,18,-4.7,-0.7,-0.39,27.89,43.32,-8.2
439_1,57.7,10.0,3,79, 1B-7,-25,0.7,-10.6,10.21,29.99,23.65,-6.9
439_2,58.1,4.0,21,345, 1B-8,-17,-1.9,-9.0,8.79,27.16,21.62,-7.5
439_3,58.1,4.0,4,96, 6-3,-19,0.7,-9.7,9.41,29.74,21.7,-7.2
